Time(ms),Position(rad),Torque(Nm),Velocity(rad/s),Acceleration(rad/s^2)
2861.6,7.544789,1.445000,0.227976,-0.061120
2871.6,7.547042,1.381000,0.217370,-1.060604
2881.8,7.549223,1.542000,0.212229,-0.514123
2892.0,7.551368,1.562000,0.212169,-0.005992
2902.1,7.553573,1.465000,0.213499,0.133025
2912.4,7.555730,1.560000,0.213056,-0.044342
2923.1,7.557911,1.629000,0.216327,0.327169
2933.1,7.560128,1.561000,0.219443,0.311590
2943.4,7.562369,1.639000,0.221636,0.219311
2953.6,7.564682,1.447000,0.224381,0.274439
2963.4,7.566912,1.636000,0.227461,0.307995
2973.3,7.569224,1.582000,0.230049,0.258859
2983.7,7.571537,1.652000,0.231787,0.173771
2993.8,7.573874,1.563000,0.233273,0.148604
3004.1,7.576235,1.644000,0.230421,-0.285225
3014.2,7.578560,1.763000,0.225076,-0.534496
3024.2,7.580849,1.739000,0.225076,0.000000
3034.5,7.583126,1.634000,0.226921,0.184557
3044.2,7.585391,1.601000,0.222775,-0.414654
3054.2,7.587632,1.673000,0.224309,0.153398
3064.2,7.589933,1.536000,0.228707,0.439821
3074.9,7.592234,1.661000,0.226394,-0.231296
3085.1,7.594547,1.697000,0.227952,0.155795
3094.8,7.596896,1.590000,0.229869,0.191748
3105.4,7.599293,1.468000,0.234807,0.493750
3115.2,7.601618,1.647000,0.236053,0.124636
3125.4,7.603967,1.581000,0.232386,-0.366717
3135.6,7.606316,1.526000,0.228084,-0.430234
3145.3,7.608605,1.493000,0.221109,-0.697482
3155.3,7.610798,1.546000,0.216159,-0.494948
3165.2,7.612919,1.706000,0.211653,-0.450607
3175.3,7.615112,1.492000,0.210791,-0.086286
3185.3,7.617245,1.504000,0.212660,0.186954
3195.8,7.619414,1.452000,0.210934,-0.172573
3206.1,7.621572,1.464000,0.218532,0.759800
3216.2,7.623729,1.631000,0.217538,-0.099469
3226.2,7.625934,1.594000,0.221109,0.357130
3236.3,7.628187,1.490000,0.220869,-0.023968
3246.7,7.630428,1.640000,0.226909,0.604005
3256.7,7.632729,1.608000,0.229726,0.281629
3266.8,7.635030,1.552000,0.227820,-0.190549
3276.6,7.637391,1.323000,0.229450,0.162985
3287.1,7.639656,1.425000,0.225411,-0.403868
3296.7,7.641909,1.596000,0.222715,-0.269645
3307.5,7.644210,1.455000,0.219695,-0.302002
3317.7,7.646427,1.638000,0.220150,0.045540
3327.6,7.648632,1.611000,0.220126,-0.002397
3337.6,7.650873,1.576000,0.221061,0.093477
3347.4,7.653114,1.564000,0.226897,0.583632
3357.6,7.655391,1.651000,0.223014,-0.388289
3368.3,7.657716,1.578000,0.224429,0.141414
3378.5,7.660041,1.444000,0.228611,0.418249
3388.5,7.662342,1.496000,0.232039,0.342749
3398.5,7.664643,1.612000,0.230289,-0.174970
3408.2,7.666944,1.705000,0.228120,-0.216914
3418.3,7.669269,1.589000,0.225651,-0.246875
3428.3,7.671510,1.507000,0.219156,-0.649545
3438.4,7.673739,1.422000,0.212229,-0.692688
3448.5,7.675872,1.432000,0.211737,-0.049135
3458.7,7.678041,1.489000,0.210000,-0.173771
3468.8,7.680162,1.601000,0.211030,0.103064
3479.0,7.682332,1.409000,0.213619,0.258859
3489.3,7.684489,1.323000,0.216938,0.331963
3499.2,7.686682,1.336000,0.220558,0.361924
3509.1,7.688863,1.437000,0.219755,-0.080294
3519.2,7.691092,1.476000,0.224429,0.467385
3529.4,7.693321,1.603000,0.226262,0.183359
3539.4,7.695670,1.500000,0.229043,0.278034
3549.6,7.697995,1.323000,0.228036,-0.100667
3560.0,7.700320,1.305000,0.230708,0.267248
3569.5,7.702597,1.342000,0.223841,-0.686696
3579.9,7.704838,1.366000,0.219815,-0.402670
3589.7,7.707031,1.463000,0.221672,0.185755
3600.4,7.709308,1.489000,0.220198,-0.147406
3610.2,7.711585,1.344000,0.222044,0.184557
3620.4,7.713814,1.283000,0.224093,0.204930
3630.3,7.716067,1.445000,0.227089,0.299606
3641.0,7.718404,1.393000,0.227568,0.047937
3650.8,7.720717,1.402000,0.229798,0.222907
3661.4,7.723066,1.355000,0.232170,0.237288
3671.1,7.725439,1.265000,0.231212,-0.095874
3681.3,7.727800,1.465000,0.230001,-0.121041
3691.9,7.730125,1.589000,0.229630,-0.037151
3701.9,7.732450,1.441000,0.225315,-0.431432
3712.2,7.734739,1.340000,0.217154,-0.816126
3722.0,7.736932,1.366000,0.211282,-0.587227
3732.2,7.739053,1.522000,0.212109,0.082691
3742.2,7.741186,1.623000,0.211713,-0.039548
3752.9,7.743343,1.604000,0.210215,-0.149803
3763.2,7.745524,1.527000,0.217286,0.707069
3773.4,7.747765,1.489000,0.215932,-0.135422
3783.5,7.749983,1.562000,0.219911,0.397876
3793.7,7.752212,1.551000,0.221169,0.125834
3803.9,7.754453,1.721000,0.225567,0.439821
3814.1,7.756754,1.648000,0.225795,0.022770
3824.2,7.759079,1.592000,0.227149,0.135422
3834.2,7.761368,1.576000,0.226634,-0.051532
3844.0,7.763633,1.611000,0.224656,-0.197740
3854.5,7.765910,1.652000,0.221984,-0.267248
3864.9,7.768151,1.644000,0.217454,-0.453004
3875.0,7.770368,1.749000,0.221409,0.395479
3884.7,7.772633,1.644000,0.222871,0.146208
3895.0,7.774910,1.688000,0.222104,-0.076699
3905.5,7.777151,1.819000,0.227401,0.529703
3915.8,7.779464,1.828000,0.227916,0.051532
3925.7,7.781813,1.585000,0.226682,-0.123438
3936.2,7.784102,1.660000,0.227868,0.118644
3946.3,7.786474,1.587000,0.230253,0.238486
3956.1,7.788847,1.543000,0.232973,0.272042
3966.2,7.791196,1.593000,0.230792,-0.218113
3976.2,7.793557,1.397000,0.228539,-0.225303
3986.3,7.795846,1.409000,0.220809,-0.772983
3996.7,7.798075,1.486000,0.214997,-0.581235
4007.4,7.800220,1.640000,0.210083,-0.491353
4017.4,7.802342,1.588000,0.210910,0.082691
4027.4,7.804475,1.517000,0.209460,-0.145009
4037.4,7.806572,1.595000,0.209724,0.026365
4047.2,7.808717,1.584000,0.216279,0.655537
4057.3,7.810874,1.665000,0.216459,0.017976
4067.3,7.813091,1.580000,0.218736,0.227700
4077.8,7.815297,1.535000,0.219335,0.059921
4087.5,7.817526,1.513000,0.222128,0.279232
4097.5,7.819791,1.502000,0.227521,0.539290
4107.3,7.822080,1.391000,0.227089,-0.043143
4117.4,7.824369,1.440000,0.228563,0.147406
4127.5,7.826658,1.597000,0.228240,-0.032357
4137.7,7.828971,1.465000,0.222787,-0.545282
4147.7,7.831236,1.489000,0.221972,-0.081493
4157.7,7.833417,1.689000,0.223254,0.128231
4167.7,7.835658,1.575000,0.221636,-0.161787
4177.8,7.837923,1.438000,0.225232,0.359527
4187.9,7.840200,1.390000,0.228455,0.322376
4197.9,7.842465,1.582000,0.227065,-0.139017
4208.1,7.844790,1.408000,0.226082,-0.098271
4218.1,7.847067,1.490000,0.231427,0.534496
4228.6,7.849392,1.499000,0.230181,-0.124636
4238.7,7.851729,1.513000,0.227700,-0.248073
4248.8,7.854054,1.571000,0.227497,-0.020373
4259.1,7.856355,1.674000,0.223362,-0.413456
4269.4,7.858584,1.534000,0.216100,-0.726244
4279.2,7.860741,1.638000,0.211210,-0.488956
4289.4,7.862850,1.651000,0.208861,-0.234891
4299.8,7.864983,1.551000,0.205877,-0.298407
4309.8,7.867068,1.568000,0.206344,0.046738
4319.7,7.869166,1.572000,0.207555,0.121041
4330.0,7.871311,1.443000,0.212912,0.535695
4340.2,7.873492,1.433000,0.213439,0.052731
4350.4,7.875661,1.565000,0.214158,0.071905
4360.4,7.877830,1.542000,0.218149,0.399075
4370.6,7.880035,1.545000,0.220941,0.279232
4380.8,7.882288,1.555000,0.223626,0.268447
4390.9,7.884541,1.552000,0.225999,0.237288
